"ID"	Smiles	Standard_Type	Standard_Relation	Standard_Units	Standard_Value	pIC50	RemovedSalts[1]	RemovedSalts[2]	RemovedSalts[3]	RemovedSalts[4]
CHEMBL4280224	CCN(CC)Cc1cc(N)ccc1O.Cl.Cl	IC50	=	nM	2160000	2.665546249	HCl	HCl		
CHEMBL462946	O=C(O)C(F)(F)F.O=C1C=C2S[C@H]3C[C@]2(C=C1Br)C1=C(N3)C(=O)c2[nH]cc3c2C1=NCC3	IC50	=	nM	2150000	2.66756154	OC(=O)C(F)(F)F			
CHEMBL4159832	Nc1c2c(nc3c1C(c1ccc(F)cc1)NC(=S)N3)CCCC2	IC50	=	nM	2100000	2.677780705				
CHEMBL369768	COc1ccc(/C=C/C(=O)c2ccc3c(c2O)C=CC(C)(C)O3)cc1	IC50	=	nM	2100000	2.677780705				
CHEMBL4289221	NC(=O)c1cc[n+](C/C=C/C[n+]2ccc(/C=N/O)c(Cl)c2)cc1.[Br-].[Br-]	Ki	=	nM	2070141.35	2.684	Br-	Br-		
CHEMBL4278434	CCN(CC)CCOc1cccc(/C=C2\COc3ccccc3C2=O)c1	IC50	=	nM	2045000	2.689306688				
CHEMBL451825	O/N=C/c1cc[n+](C[n+]2ccc(/C=N/O)cc2)cc1.[Br-].[Br-]	IC50	=	nM	2010000	2.696803943	Br-	Br-		
CHEMBL2441686	COc1c(F)ccc[n+]1C.F[B-](F)(F)F	IC50	=	nM	2010000	2.696803943	F[B-](F)(F)F			
CHEMBL2181436	COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCc1ccnc(/C=N/O)c1O)CC2	Kd	=	nM	1990000	2.701146924				
CHEMBL3235228	O=C(/C=N/O)c1ccc(NCC2CCN(Cc3ccccc3)CC2)nc1	Ki	=	nM	1961000	2.707522406				
CHEMBL3965046	CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccccc4)cc3)CC2)CC1	IC50	=	nM	1947000	2.710634048				
CHEMBL1952061	CCCCN1CCCN=C1/C=N/O.Cl	IC50	=	nM	1930000	2.714442691	HCl			
CHEMBL4068713	COc1cc2c(cc1OC)CN(Cc1cccc(/C=N/O)c1O)CC2	IC50	=	nM	1926000	2.715343717				
CHEMBL4062487	COc1cc2c(cc1OC)CN(CC1CCN(Cc3cccc(/C=N/O)c3O)CC1)CC2	IC50	=	nM	1905000	2.72010502				
CHEMBL4094380	COc1cc2c(cc1OC)C(c1ccccc1)N(CC1CCN(Cc3cc(C)cc(/C=N/O)c3O)CC1)CC2	IC50	=	nM	1870000	2.728158393				
CHEMBL3261985	O=C(/C=N\O)Nc1ccc[n+](CCC[n+]2cccc(NC(=O)/C=N\O)c2)c1.[Br-].[Br-]	Kd	=	nM	1790000	2.747146969	Br-	Br-		
CHEMBL2181438	COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCCCc1cc(C)nc(/C=N/O)c1O)CC2	IC50	=	nM	1770000	2.752026734				
CHEMBL2181431	COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCc1ccc(O)c(/C=N/O)n1)CC2	Kd	=	nM	1761976.05	2.753999999				
CHEMBL2181437	COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCCc1ccnc(/C=N/O)c1O)CC2	Kd	=	nM	1729816.36	2.762				
CHEMBL2396913	CC1CCCCN1c1nc2ccccc2[nH]1	IC50	=	nM	1705000	2.768275617				
CHEMBL2011404	COc1ccc([C@@H]2CC(=O)c3c(cc(O)c(C/C=C(\C)CCC=C(C)C)c3O)O2)cc1O	Ki	=	nM	1663800	2.77889888				
CHEMBL3335074	C[n+]1cccc(/C=N/O)c1.[Br-]	Kd	=	nM	1625000	2.789146635	Br-			
CHEMBL521589	CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1	IC50	=	nM	1610000	2.793174124				
CHEMBL502689	CC(C)=CCc1cc2ccc(=O)oc2cc1O	IC50	=	nM	1608000	2.793713956				
CHEMBL459825	CC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1Cc2cc3ccc(=O)oc3cc2O1	IC50	=	nM	1600000	2.795880017				
CHEMBL1085275	c1ccc(-c2ccc(NCCN3CCc4ccccc4C3)nn2)cc1	IC50	=	nM	1567000	2.804931004				
CHEMBL332454	Nc1c2c(nc3ccccc13)-c1ccccc1CCC2	IC50	=	nM	1556000	2.807990407				
CHEMBL118139	Nc1c2c(nc3ccccc13)CCCc1ccccc1-2	IC50	=	nM	1541000	2.812197361				
CHEMBL119528	CCCCC1(O)c2nc3ccccc3c(N)c2CC1C	IC50	=	nM	1540000	2.812479279				
CHEMBL115697	Nc1c2c(nc3ccccc13)-c1ccccc1NCC2	IC50	=	nM	1536500	2.813467435				
CHEMBL1306	CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	IC50	=	nM	1510080.15	2.821000001				
CHEMBL389668	COc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1OC	IC50	=	nM	1500000	2.823908741				
CHEMBL371651	COc1cc2ccnc3c2c(c1OC)C(Br)OC3=O	IC50	=	nM	1473000	2.831797253				
CHEMBL357843	CC(OC[n+]1ccn(C)c1/C=N/O)C1CCCCC1.[Cl-]	IC50	=	nM	1450000	2.838631998	Cl-			
CHEMBL920	C[N+](C)(C)CCO	IC50	=	nM	1426000	2.845880474				
CHEMBL1081126	[Br-].[Br-].c1cc[n+](Cc2ccc(C[n+]3ccccc3)cc2)cc1	IC50	=	nM	1421000	2.847405922	Br-	Br-		
CHEMBL3597548	CN(Cc1ccccc1)Cc1ccc(/C=C2\Cc3ccc(OCCCCCN4CCC(c5ccccc5)CC4)cc3C2=O)cc1	IC50	=	nM	1382000	2.859491957				
CHEMBL456156	Oc1cccc(C2=Nc3ccccc3SC(c3ccccc3)C2)c1	IC50	=	nM	1360000	2.866461092				
CHEMBL3827449	CCCC1OCc2c[n+](C)c(C)c(OC(=O)N(C)C)c2CO1.[Br-]	IC50	=	nM	1328000	2.876801925	Br-			
CHEMBL3819024	O=C(CCCCCCCCc1ccc(O)c(O)c1)c1c(O)ccc(C(CCCCCCCCc2ccc(O)cc2)c2c(O)cccc2O)c1O	IC50	=	nM	1310000	2.882728704				
CHEMBL461949	C=C(C)[C@H](O)Cc1cc2ccc(=O)oc2cc1O	IC50	=	nM	1270000	2.896196279				
CHEMBL592674	CN(C)C(=O)N1c2ccccc2Sc2ccccc21	Ki	=	nM	1265000	2.897909474				
CHEMBL385181	NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1	IC50	=	nM	1256000	2.901010361				
CHEMBL32778	O/N=C/c1cc[n+](CCC[n+]2ccc(/C=N/O)cc2)cc1	IC50	=	nM	1207000	2.91829273				
CHEMBL3597944	COc1ccc(-c2csc(NC(=O)C[n+]3ccc(/C=N/O)cc3)n2)cc1.[I-]	Kd	=	nM	1200000	2.920818754	I-			
CHEMBL3597943	Cc1ccc(-c2csc(NC(=O)C[n+]3cccc(/C=N/O)c3)n2)cc1.[Cl-]	Kd	=	nM	1158777.36	2.935999999	Cl-			
CHEMBL3597947	CCOC(=O)Cc1csc(NC(=O)C[n+]2cccc(/C=N/O)c2)n1.[Cl-]	Kd	=	nM	1151000	2.938924676	Cl-			
CHEMBL130478	CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C	IC50	=	nM	1129795.91	2.947000002				
CHEMBL4635686	CN(C)C(=O)Oc1cccc(C(O)CNC2CCCCC2)c1.Cl	IC50	=	nM	1128000	2.9476909	HCl			
CHEMBL423352	CC(C)(C)[C@@]1(O)C[N+](C)(C)CCO1	IC50	=	nM	1124000	2.949233689				
CHEMBL4171637	COC1c2c(ccc3c2OCO3)-c2ccc3cc4c(cc3c2N1C)OCO4	IC50	=	nM	1060000	2.974694135				
CHEMBL748	C[n+]1ccccc1/C=N/O.[Cl-]	IC50	=	nM	1058000	2.975514332	Cl-			
CHEMBL539108	O/N=C\c1cccc[n+]1COCCOC[n+]1ccccc1/C=N/O.[Cl-].[Cl-]	IC50	=	nM	1053500	2.97736546	Cl-	Cl-		
CHEMBL343319	Cc1c(O)cccc1[N+](C)(C)C	IC50	=	nM	1050000	2.978810701				
CHEMBL147025	C#CC1(OC[n+]2ccn(C)c2/C=N/O)CCCC1.[Cl-]	IC50	=	nM	1028000	2.988006885	Cl-			
CHEMBL347749	CC#CCCOC[n+]1ccn(C)c1/C=N/O.[Cl-]	IC50	=	nM	1020000	2.991399828	Cl-			
CHEMBL325505	CCCCCCCCCN(Cc1ccccc1OC)C(=O)CCCCCN(C)Cc1ccc(-c2ccc(CN(C)CCCCCC(=O)NCc3ccccc3OC)cc2)cc1	IC50	=	nM	1015000	2.993533958				
CHEMBL345031	C[N+]1(C)CCO[C@H](O)C1	IC50	=	nM	1000000	3				
CHEMBL225451	COc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1	IC50	=	nM	1000000	3				
CHEMBL2234840	CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccccc1OC)CCCCC3	IC50	=	nM	1000000	3				
CHEMBL4281350	NC(=O)c1cc[n+](CCC[n+]2cc(Cl)c(/C=N/O)c(Cl)c2)cc1.[Br-].[Br-]	Ki	=	nM	1000000	3	Br-	Br-		
CHEMBL387849	COc1ccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c(OC)c1OC	IC50	=	nM	1000000	3				
CHEMBL1257413	CCCCCCCCCCCCCNc1c2c(nc3ccc(OC)cc13)CCCC2.Cl	IC50	=	nM	1000000	3	HCl			
CHEMBL136719	CC(=O)Oc1cccc([N+](C)(C)C)c1C	IC50	=	nM	1000000	3				
CHEMBL131286	O=C1CCN(Cc2ccccc2)C/C1=C\c1cn(C(=O)c2ccc(F)cc2)c2ccccc12	IC50	=	nM	995700	3.001871493				
CHEMBL2441690	COc1ccc([N+](=O)[O-])c[n+]1C.F[B-](F)(F)F	IC50	=	nM	977400	3.009927665	F[B-](F)(F)F			
CHEMBL1644323	O/N=C/c1cc[n+](CCC[n+]2ccc(-c3ccccc3)cc2)cc1.[Br-].[Br-]	IC50	=	nM	970000	3.013228266	Br-	Br-		
CHEMBL456881	O=c1c2ccccc2nc2n1CCC2	IC50	=	nM	965100	3.015427684				
CHEMBL128292	O=C1CCN(Cc2ccccc2)C/C1=C\c1cn(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccccc12	IC50	=	nM	956700	3.019224226				
CHEMBL556161	C#CCNC1CCc2c(Cl)cc(OC(=O)N(C)CCC)cc21.Cl	IC50	=	nM	955300	3.019860222	HCl			
CHEMBL609672	CC(C)NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C	IC50	=	nM	940800	3.026502691				
CHEMBL494887	CC(C)NP(=O)(NC(C)C)OP(=O)(NC(C)C)NC(C)C	IC50	=	nM	930000	3.031517051				
CHEMBL34000	Cn1cc[n+](COCCCc2ccccc2)c1/C=N/O.[Cl-]	IC50	=	nM	911300	3.04033863	Cl-			
CHEMBL102078	CCCCSC(=O)OCC[N+](C)(C)C.[Cl-]	IC50	=	nM	908000	3.041914151	Cl-			
CHEMBL3787666	CN1Cc2cc(O)ccc2N(C)C1c1ccc(F)cc1	IC50	=	nM	907800	3.042009822				
CHEMBL3786589	Cc1ccc(C2N(C)Cc3cc(O)ccc3N2C)cc1	IC50	=	nM	895800	3.047788942				
CHEMBL2234523	COc1cccc([C@H]2C3=C(CC(C)(C)CC3=O)Oc3nc4c(c(N)c32)CCCC4)c1	IC50	=	nM	880000	3.055517328				
CHEMBL3605419	Cc1cccc(-c2nnc(-c3ccc4c(c3)CO[C@@]4(CCCN(C)C)c3ccc(F)cc3)[nH]2)c1	IC50	=	nM	878000	3.056505484				
CHEMBL3235225	N#Cc1ccc(CN2CCC(COc3ccc(C(=O)/C=N/O)cn3)CC2)cc1	Ki	=	nM	847227.41	3.072000002				
CHEMBL3235227	O=C(/C=N/O)c1cnc(OCC2CCN(Cc3ccccc3)CC2)nc1	Ki	=	nM	844500	3.073400346				
CHEMBL2425415	COc1ccc(NC(=S)NNC=C2C(=O)NC(=S)NC2=O)cc1	IC50	=	nM	826000	3.083019953				
CHEMBL2425410	O=C1NC(=S)NC(=O)C1=CNNC(=S)Nc1ccc(Cl)cc1	IC50	=	nM	816582.37	3.088000001				
CHEMBL2425418	NC(=S)NNC=C1C(=O)NC(=O)NC1=O	IC50	=	nM	815800	3.088416299				
CHEMBL4280753	CCN1CCN(CCCNC(=O)COc2ccc(I)cc2)CC1	IC50	=	nM	805100	3.094150173				
CHEMBL3628053	O=C(NCCc1c[nH]c2ccccc12)c1ccc[n+](Cc2ccccc2)c1.[Br-]	IC50	=	nM	802400	3.09560908	Br-			
CHEMBL4284506	O=C(COc1ccc(-c2ccccc2)cc1)N1CCC(N2CCOCC2)CC1	IC50	=	nM	792000	3.101274818				
CHEMBL4065242	COc1cc2c(cc1OC)C(c1ccccc1)N(Cc1cc(C)cc(/C=N/O)c1O)CC2	IC50	=	nM	785000	3.105130343				
CHEMBL4091945	COc1cc2c(cc1OC)C(c1ccccc1)N(Cc1cc(Br)cc(/C=N/O)c1O)CC2	IC50	=	nM	782000	3.106793247				
CHEMBL4102122	COc1cc2c(cc1OC)CN(CC1CCN(Cc3cc(Cl)cc(/C=N/O)c3O)CC1)CC2	IC50	=	nM	770000	3.113509275				
CHEMBL4077866	COc1cc2c(cc1OC)CN(CC1CCN(Cc3cc(Br)cc(/C=N/O)c3O)CC1)CC2	IC50	=	nM	762600	3.117703199				
CHEMBL223652	CN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccc(Cl)cc1	IC50	=	nM	754700	3.12222565				
CHEMBL4093201	CSP(C)(=O)OC(C)C	Kd	=	nM	753355.56	3.123000002				
CHEMBL375976	CN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(Cl)c1	IC50	=	nM	740400	3.13053359				
CHEMBL3339004	CCCCN(CCCC)CCOc1ccc(C(=O)/C=C/c2ccccc2)cc1	IC50	=	nM	740000	3.13076828				
CHEMBL3235212	COc1cc2c(cc1OC)C(c1ccccc1)N(CCCNC(=O)/C=N/O)CC2	Ki	=	nM	732500	3.135192371				
CHEMBL3235213	COc1cc2c(cc1OC)C(c1ccccc1)N(CCCNC(=O)/C(=N/O)C(C)=O)CC2	Ki	=	nM	730000	3.13667714				
CHEMBL3235214	COc1cc2c(cc1OC)CN(CCCNC(=O)/C(=N/O)C(C)=O)CC2	Ki	=	nM	720000	3.142667504				
CHEMBL3235220	O=C(/C=N/O)c1ccnc(OCC2CCN(Cc3ccccc3)CC2)c1	Ki	=	nM	720000	3.142667504				
CHEMBL3235223	COc1ccc(CN2CCC(COc3ccc(C(=O)/C=N/O)cn3)CC2)cc1OC	Ki	=	nM	710000	3.148741651				
CHEMBL360055	CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC	Ki	=	nM	710000	3.148741651				
CHEMBL77510	O/N=C/c1ccccn1	Kd	=	nM	691000	3.160521953				
CHEMBL3605434	COc1cccc(-c2nnc(-c3ccc4c(c3)CO[C@@]4(CCCN(C)C)c3ccc(F)cc3)[nH]2)c1	IC50	=	nM	690239.8	3.161000002				
CHEMBL3605309	CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(-c3nnc(-c4ccccc4N)[nH]3)ccc21	IC50	=	nM	684500	3.164626548				
CHEMBL3233993	N#CC(c1ccc2c(c1)OCO2)N1CCCC1	IC50	=	nM	654000	3.184422252				
CHEMBL1192998	COc1cc(C(C#N)N2CCOCC2)cc(OC)c1OC	IC50	=	nM	636700	3.19606515				
CHEMBL4283986	CCCCCN(C)Cc1cc(N)ccc1O.Cl.Cl	IC50	=	nM	636000	3.196542884	HCl	HCl		
CHEMBL424	O=C(O)c1ccccc1O	IC50	=	nM	628058.36	3.201999999				
CHEMBL74533	COc1ccc(CN2CCC(CCC(=O)c3ccc4c(c3)NCCCC4)CC2)cc1	IC50	=	nM	626000	3.203425667				
CHEMBL1087131	CC(CC(=O)C[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O	IC50	=	nM	625600	3.20370326				
CHEMBL3752908	I.ICC1CN=C(Nc2ccccn2)S1	IC50	=	nM	600000	3.22184875	HI			
CHEMBL150985	Cc1cc(-c2ccc(Cl)cc2)nnc1NCCN1CCOCC1	IC50	=	nM	597035.29	3.223999998				
CHEMBL1083676	OCc1cc(-c2ccccc2)nnc1NCCN1CCOCC1	IC50	=	nM	597035.29	3.223999998				
CHEMBL3234588	O/N=C/c1nc(CCCCNc2c3c(nc4ccccc24)CCCC3)ccc1O	Kd	=	nM	595100	3.22541005				
CHEMBL2181429	CS(=O)(=O)[O-].CS(=O)(=O)[O-].NC(=O)c1cc[n+](COC[n+]2ccc(/C=N/O)cc2/C=N/O)cc1	Kd	=	nM	594000	3.226213555	CS(=O)(=O)O	CS(=O)(=O)O		
CHEMBL4849687	COc1ccc2[nH]cc(CCNC(=O)Cn3cc(CN4CCc5cc(OC)c(OC)cc5C4CCCN4C(=O)c5ccccc5C4=O)nn3)c2c1	IC50	=	nM	580000	3.236572006				
CHEMBL128894	O=C1CCN(Cc2ccccc2)C/C1=C\c1cccn1C(=O)c1ccccc1	IC50	=	nM	568000	3.245651664				
CHEMBL3339000	CCCN(CCC)CCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1	IC50	=	nM	565000	3.247951552				
CHEMBL4756653	CCCCCCCCCCCCCCCCc1cc[n+](C)cc1C(=O)[O-]	IC50	=	nM	559300	3.252355181				
CHEMBL4792387	CN1CCCC[C@H]1c1ccc(-c2cccnc2)nc1	Ki	=	nM	550600	3.259163793				
CHEMBL434042	CC(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1	IC50	=	nM	550000	3.259637311				
CHEMBL1082740	FC(F)(F)c1cc(-c2ccccc2)nnc1NCCN1CCOCC1	IC50	=	nM	543400	3.264880366				
CHEMBL1085937	c1ccc(-c2ccc(NCCCN3CCOCC3)nn2)cc1	IC50	=	nM	534564.36	3.272				
CHEMBL1084789	c1ccc(C2=NNC(NCN3CCCCC3)=NC2)cc1	IC50	=	nM	527000	3.278189385				
